# Reduction : NTR-KZFD based ; Ising before applying embedding
k,rcs,at,meanr,minr,maxr,proba,nbdup,maxdup,nbduperrors
4,0.65,100,0.9599999999999999,0.8,1.0,0.8,1,2,0
4,0.65,200,0.986,0.8,1.0,0.93,1,2,0
4,0.65,300,0.9719999999999998,0.8,1.0,0.86,1,2,0
4,0.65,400,0.9819999999999998,0.8,1.0,0.91,1,2,0
4,0.65,500,0.9539999999999997,0.8,1.0,0.77,1,2,0
4,0.65,600,0.9619999999999999,0.8,1.0,0.81,1,2,0
4,0.65,700,0.9739999999999999,0.8,1.0,0.87,1,2,0
4,0.65,800,0.9799999999999998,0.8,1.0,0.9,1,2,0
4,0.65,900,0.9719999999999998,0.8,1.0,0.86,1,2,0
4,0.65,1000,0.9760000000000001,0.8,1.0,0.88,1,2,0
4,0.65,1100,0.98,0.8,1.0,0.9,1,2,0
4,0.65,1200,0.9739999999999999,0.8,1.0,0.87,1,2,0
4,0.65,1300,0.9739999999999999,0.8,1.0,0.87,1,2,0
4,0.65,1400,0.968,0.8,1.0,0.84,1,2,0
4,0.65,1500,0.9739999999999998,0.8,1.0,0.87,1,2,0
4,0.65,1600,0.9639999999999997,0.6,1.0,0.83,1,2,0
4,0.65,1700,0.9779999999999999,0.8,1.0,0.89,1,2,0
4,0.65,1800,0.9839999999999998,0.8,1.0,0.92,1,2,0
4,0.65,1900,0.97,0.8,1.0,0.85,1,2,0
4,0.65,2000,0.9620000000000002,0.8,1.0,0.81,1,2,0
5,0.65,100,0.9400000000000002,0.8,1.0,0.7,2,2,0
5,0.65,200,0.9479999999999997,0.8,1.0,0.74,2,2,0
5,0.65,300,0.9319999999999999,0.8,1.0,0.66,2,2,1
5,0.65,400,0.9739999999999999,0.8,1.0,0.87,2,2,0
5,0.65,500,0.9739999999999998,0.8,1.0,0.87,2,2,1
5,0.65,600,0.9600000000000002,0.8,1.0,0.8,2,2,0
5,0.65,700,0.9760000000000001,0.8,1.0,0.88,2,2,0
5,0.65,800,0.9620000000000001,0.8,1.0,0.81,2,2,0
5,0.65,900,0.97,0.8,1.0,0.85,2,2,0
5,0.65,1000,0.9779999999999996,0.8,1.0,0.89,2,2,0
5,0.65,1100,0.9719999999999999,0.8,1.0,0.86,2,2,0
5,0.65,1200,0.9919999999999999,0.8,1.0,0.96,2,2,0
5,0.65,1300,0.9859999999999998,0.8,1.0,0.93,2,2,0
5,0.65,1400,0.9719999999999999,0.8,1.0,0.86,2,2,0
5,0.65,1500,0.968,0.8,1.0,0.84,2,2,0
5,0.65,1600,0.9640000000000001,0.8,1.0,0.82,2,2,0
5,0.65,1700,0.9699999999999999,0.8,1.0,0.85,2,2,0
5,0.65,1800,0.9759999999999998,0.8,1.0,0.88,2,2,0
5,0.65,1900,0.9739999999999999,0.8,1.0,0.87,2,2,0
5,0.65,2000,0.9680000000000001,0.8,1.0,0.84,2,2,0
6,0.65,100,0.956,0.8,1.0,0.78,1,2,0
6,0.65,200,0.9659999999999997,0.8,1.0,0.83,1,2,0
6,0.65,300,0.9719999999999998,0.6,1.0,0.87,1,2,0
6,0.65,400,0.9660000000000001,0.8,1.0,0.83,1,2,0
6,0.65,500,0.9639999999999997,0.8,1.0,0.82,1,2,0
6,0.65,600,0.966,0.6,1.0,0.84,1,2,0
6,0.65,700,0.978,0.8,1.0,0.89,1,2,0
6,0.65,800,0.96,0.8,1.0,0.8,1,2,0
6,0.65,900,0.94,0.8,1.0,0.7,1,2,0
6,0.65,1000,0.9680000000000001,0.8,1.0,0.84,1,2,0
6,0.65,1100,0.968,0.8,1.0,0.84,1,2,0
6,0.65,1200,0.958,0.8,1.0,0.79,1,2,0
6,0.65,1300,0.9679999999999999,0.8,1.0,0.84,1,2,0
6,0.65,1400,0.9599999999999997,0.6,1.0,0.81,1,2,0
6,0.65,1500,0.97,0.8,1.0,0.85,1,2,0
6,0.65,1600,0.968,0.8,1.0,0.84,1,2,0
6,0.65,1700,0.9720000000000002,0.8,1.0,0.86,1,2,0
6,0.65,1800,0.948,0.8,1.0,0.74,1,2,0
6,0.65,1900,0.9620000000000001,0.8,1.0,0.81,1,2,0
6,0.65,2000,0.9620000000000001,0.8,1.0,0.81,1,2,0
7,0.65,100,0.9439999999999997,0.6,1.0,0.74,2,2,0
7,0.65,200,0.936,0.8,1.0,0.68,2,2,0
7,0.65,300,0.922,0.8,1.0,0.61,2,2,0
7,0.65,400,0.9460000000000001,0.8,1.0,0.73,2,2,0
7,0.65,500,0.9320000000000002,0.8,1.0,0.66,2,2,0
7,0.65,600,0.96,0.6,1.0,0.81,2,2,0
7,0.65,700,0.9359999999999998,0.8,1.0,0.68,2,2,0
7,0.65,800,0.9600000000000002,0.8,1.0,0.8,2,2,0
7,0.65,900,0.95,0.6,1.0,0.76,2,2,0
7,0.65,1000,0.9640000000000001,0.8,1.0,0.82,2,2,0
7,0.65,1100,0.964,0.8,1.0,0.82,2,2,0
7,0.65,1200,0.954,0.8,1.0,0.77,2,2,0
7,0.65,1300,0.954,0.8,1.0,0.77,2,2,0
7,0.65,1400,0.9719999999999999,0.8,1.0,0.86,2,2,0
7,0.65,1500,0.938,0.8,1.0,0.69,2,2,0
7,0.65,1600,0.9520000000000002,0.8,1.0,0.76,2,2,0
7,0.65,1700,0.9480000000000001,0.6,1.0,0.75,2,2,0
7,0.65,1800,0.966,0.8,1.0,0.83,2,2,0
7,0.65,1900,0.9259999999999999,0.8,1.0,0.63,2,2,0
7,0.65,2000,0.9300000000000002,0.8,1.0,0.65,2,2,0
8,0.65,100,0.946,0.8,1.0,0.73,2,2,0
8,0.65,200,0.9299999999999997,0.8,1.0,0.65,2,2,0
8,0.65,300,0.9100000000000001,0.8,1.0,0.55,2,2,0
8,0.65,400,0.9639999999999997,0.8,1.0,0.82,2,2,0
8,0.65,500,0.9439999999999997,0.6,1.0,0.73,2,2,0
8,0.65,600,0.9779999999999999,0.8,1.0,0.89,2,2,0
8,0.65,700,0.9499999999999998,0.6,1.0,0.76,2,2,0
8,0.65,800,0.9419999999999998,0.8,1.0,0.71,2,2,0
8,0.65,900,0.9419999999999998,0.6,1.0,0.72,2,2,0
8,0.65,1000,0.9599999999999999,0.8,1.0,0.8,2,2,0
8,0.65,1100,0.948,0.8,1.0,0.74,2,2,0
8,0.65,1200,0.97,0.8,1.0,0.85,2,2,0
8,0.65,1300,0.9639999999999997,0.8,1.0,0.82,2,2,0
8,0.65,1400,0.958,0.8,1.0,0.79,2,2,0
8,0.65,1500,0.9620000000000001,0.8,1.0,0.81,2,2,0
8,0.65,1600,0.9759999999999998,0.8,1.0,0.88,2,2,0
8,0.65,1700,0.9659999999999997,0.8,1.0,0.83,2,2,0
8,0.65,1800,0.97,0.8,1.0,0.85,2,2,0
8,0.65,1900,0.9739999999999998,0.8,1.0,0.87,2,2,0
8,0.65,2000,0.9719999999999999,0.8,1.0,0.86,2,2,0
9,0.65,100,0.9540000000000001,0.4,1.0,0.79,2,2,0
9,0.65,200,0.9359999999999999,0.8,1.0,0.68,2,2,0
9,0.65,300,0.95,0.8,1.0,0.75,2,2,0
9,0.65,400,0.9520000000000001,0.6,1.0,0.77,2,2,0
9,0.65,500,0.9320000000000002,0.8,1.0,0.66,2,2,0
9,0.65,600,0.954,0.4,1.0,0.8,2,2,1
9,0.65,700,0.938,0.8,1.0,0.69,2,2,0
9,0.65,800,0.9440000000000001,0.8,1.0,0.72,2,2,0
9,0.65,900,0.9420000000000001,0.6,1.0,0.72,2,2,0
9,0.65,1000,0.976,0.8,1.0,0.88,2,2,0
